Tipo de Inferência,Características,Exemplo
Explicações,Relacionadas aos motivos pelos quais algo acontece; incluem explicações baseadas em conhecimentos prévios ou no texto.,“Acho que essa é a causa da era do gelo”
Associações,"Fornecem informações sobre características e funções de pessoas, objetos e eventos; incluem associações prévias ou baseadas no texto.",“Isso me lembra de um show de planetário que vi”
Predições,Referem-se às inferências sobre as consequências futuras de um evento específico.,“Os gases os levarão ao objeto real”
Avaliações,"Comentários sobre o conteúdo do texto, a redação ou o estado do leitor.",“Essa frase foi difícil de dizer”
Quebras de Coerência Baseadas no Texto,Afirmações sobre a falta de coerência no conteúdo do texto.,“Isso não faz sentido”
Quebras de Coerência Baseadas no Conhecimento,Afirmações sobre a dificuldade de compreensão devido à falta de conhecimento ou experiência.,"“É meio difícil de imaginar, quero dizer, no espaço”"
Repetições,Repetições de palavras ou frases presentes no texto.,(Repetição de uma frase lida anteriormente)
